STORE_NBR,YEARMONTH,totSales,nCustomers,nTxn,nChips,nTxnPerCust,nChipsPerTxn,avgPricePerUnit
74,2019-03,171.4,37,39,49,1.054054054054054,1.2564102564102564,3.4979591836734696
74,2019-04,169.0,34,35,49,1.0294117647058822,1.4,3.4489795918367347
74,2019-05,209.0,37,38,58,1.027027027027027,1.5263157894736843,3.603448275862069
74,2019-06,235.7,50,54,67,1.08,1.2407407407407407,3.517910447761194
75,2018-07,1092.5,99,125,249,1.2626262626262625,1.992,4.387550200803213
75,2018-08,1070.4,110,131,241,1.190909090909091,1.8396946564885497,4.44149377593361
75,2018-09,1151.6,105,129,259,1.2285714285714286,2.007751937984496,4.446332046332046
75,2018-10,1255.6,124,145,288,1.1693548387096775,1.986206896551724,4.359722222222222
75,2018-11,1147.2,105,124,253,1.180952380952381,2.0403225806451615,4.534387351778657
75,2018-12,1077.6,101,120,242,1.188118811881188,2.0166666666666666,4.452892561983471
75,2019-01,1168.6,107,131,262,1.2242990654205608,2.0,4.46030534351145
75,2019-02,1007.4,95,112,224,1.1789473684210525,2.0,4.4973214285714285
75,2019-03,901.6,94,107,212,1.1382978723404256,1.9813084112149533,4.252830188679245
75,2019-04,1149.5,106,130,259,1.2264150943396226,1.9923076923076923,4.438223938223938
75,2019-05,1027.4,101,119,231,1.1782178217821782,1.9411764705882353,4.447619047619048
75,2019-06,1040.2,102,119,240,1.1666666666666667,2.0168067226890756,4.3341666666666665
77,2018-07,296.8,51,55,84,1.0784313725490196,1.5272727272727273,3.5333333333333337
77,2018-08,255.5,47,48,74,1.0212765957446808,1.5416666666666667,3.4527027027027026
77,2018-09,225.20000000000002,42,44,70,1.0476190476190477,1.5909090909090908,3.2171428571428575
77,2018-10,204.5,37,38,52,1.027027027027027,1.368421052631579,3.9326923076923075
77,2018-11,245.3,41,44,67,1.0731707317073171,1.5227272727272727,3.6611940298507464
77,2018-12,267.3,46,48,72,1.0434782608695652,1.5,3.7125000000000004
77,2019-01,204.4,35,39,65,1.1142857142857143,1.6666666666666667,3.144615384615385
77,2019-02,235.0,45,45,74,1.0,1.6444444444444444,3.175675675675676
77,2019-03,278.5,50,55,82,1.1,1.490909090909091,3.3963414634146343
77,2019-04,263.5,47,48,78,1.0212765957446808,1.625,3.378205128205128
77,2019-05,299.3,55,56,84,1.018181818181818,1.5,3.5630952380952383
77,2019-06,264.7,41,42,70,1.024390243902439,1.6666666666666667,3.781428571428571
78,2018-07,810.8,91,115,234,1.2637362637362637,2.034782608695652,3.4649572649572646
78,2018-08,786.8000000000001,91,116,223,1.2747252747252746,1.9224137931034482,3.5282511210762335
78,2018-09,827.2,101,118,236,1.1683168316831682,2.0,3.505084745762712
78,2018-10,839.4,96,125,250,1.3020833333333333,2.0,3.3575999999999997
78,2018-11,753.4,90,112,224,1.2444444444444445,2.0,3.363392857142857
78,2018-12,692.2,79,99,198,1.2531645569620253,2.0,3.4959595959595964
78,2019-01,756.6,89,110,220,1.2359550561797752,2.0,3.439090909090909
78,2019-02,731.6,86,102,204,1.186046511627907,2.0,3.5862745098039217
78,2019-03,793.2,95,114,230,1.2,2.017543859649123,3.4486956521739134
78,2019-04,710.6,80,103,206,1.2875,2.0,3.449514563106796
78,2019-05,877.45,99,128,252,1.292929292929293,1.96875,3.4819444444444447
78,2019-06,802.0,97,116,232,1.1958762886597938,2.0,3.456896551724138
79,2018-07,1080.1,110,125,243,1.1363636363636365,1.944,4.444855967078189
79,2018-08,924.05,101,119,215,1.1782178217821782,1.8067226890756303,4.297906976744186
79,2018-09,1124.8,115,134,261,1.1652173913043478,1.9477611940298507,4.309578544061303
79,2018-10,986.9,103,112,220,1.087378640776699,1.9642857142857142,4.48590909090909
79,2018-11,1062.7,104,128,243,1.2307692307692308,1.8984375,4.3732510288065845
79,2018-12,970.1,102,112,221,1.0980392156862746,1.9732142857142858,4.389592760180996
79,2019-01,994.5,105,117,225,1.1142857142857143,1.9230769230769231,4.42
